PlayerID,LastName,FirstName,Bats,Pitches,Team
ameza001,Amezaga,Alfredo,B,R,ANA
andeg001,Anderson,Garret,L,L,ANA
appik001,Appier,Kevin,R,R,ANA
bellc001,Bellinger,Clay,R,R,ANA
callm001,Callaway,Mickey,R,R,ANA
cookd001,Cook,Dennis,L,L,ANA
davaj001,DaVanon,Jeff,B,R,ANA
donnb001,Donnelly,Brendan,R,R,ANA
ecksd001,Eckstein,David,R,R,ANA
erstd001,Erstad,Darin,L,L,ANA
fabrj001,Fabregas,Jorge,L,R,ANA
fasas001,Fasano,Sal,R,R,ANA
figgc001,Figgins,Chone,B,R,ANA
fullb001,Fullmer,Brad,L,R,ANA
gil-b001,Gil,Benji,R,R,ANA
glaut001,Glaus,Troy,R,R,ANA
kenna001,Kennedy,Adam,L,R,ANA
lackj001,Lackey,John,R,R,ANA
levia001,Levine,Al,L,R,ANA
lukam001,Lukasiewicz,Mark,L,L,ANA
molib001,Molina,Bengie,R,R,ANA
molij001,Molina,Jose,R,R,ANA
nievj002,Nieves,Jose,R,R,ANA
ochoa001,Ochoa,Alex,R,R,ANA
ortir002,Ortiz,Ramon,R,R,ANA
palmo001,Palmeiro,Orlando,L,L,ANA
perct001,Percival,Troy,R,R,ANA
potel001,Pote,Lou,R,R,ANA
ramij001,Ramirez,Julio,R,R,ANA
rodrf003,Rodriguez,Francisco,R,R,ANA
salmt001,Salmon,Tim,R,R,ANA
schos001,Schoeneweis,Scott,L,L,ANA
selea001,Sele,Aaron,R,R,ANA
shies002,Shields,Scot,R,R,ANA
spies001,Spiezio,Scott,B,R,ANA
walld002,Wall,Donne,R,R,ANA
washj001,Washburn,Jarrod,L,L,ANA
webeb001,Weber,Ben,R,R,ANA
wisem001,Wise,Matt,R,R,ANA
woots001,Wooten,Shawn,R,R,ANA
andeb002,Anderson,Brian,L,L,ARI
barar001,Barajas,Rod,R,R,ARI
batim001,Batista,Miguel,R,R,ARI
bautd001,Bautista,Danny,R,R,ARI
bellj001,Bell,Jay,R,R,ARI
cinta001,Cintron,Alex,B,R,ARI
colbg001,Colbrunn,Greg,R,R,ARI
counc001,Counsell,Craig,L,R,ARI
delld001,Dellucci,David,L,L,ARI
donnc001,Donnels,Chris,L,R,ARI
durae001,Durazo,Erubiel,L,L,ARI
fettm001,Fetters,Mike,R,R,ARI
finls001,Finley,Steve,L,L,ARI
gonzl001,Gonzalez,Luis,L,R,ARI
gracm001,Grace,Mark,L,L,ARI
guilj001,Guillen,Jose,R,R,ARI
hellr001,Helling,Rick,R,R,ARI
johnr005,Johnson,Randy,R,L,ARI
josef001,Jose,Felix,B,R,ARI
kim-b001,Kim,Byung-Hyun,R,R,ARI
klasd001,Klassen,Danny,R,R,ARI
koplm001,Koplove,Mike,R,R,ARI
littm001,Little,Mark,R,R,ARI
mantm001,Mantei,Matt,R,R,ARI
mccrq001,McCracken,Quinton,B,R,ARI
milld002,Miller,Damian,R,R,ARI
moelc001,Moeller,Chad,R,R,ARI
morgm001,Morgan,Mike,R,R,ARI
myerm001,Myers,Mike,L,L,ARI
orope001,Oropesa,Eddie,L,L,ARI
overl001,Overbay,Lyle,L,L,ARI
parrj002,Parra,Jose,R,R,ARI
pattj004,Patterson,John,R,R,ARI
prinb001,Prinz,Bret,R,R,ARI
reyna001,Reynoso,Armando,R,R,ARI
sancd001,Sanchez,Duaner,R,R,ARI
schic002,Schilling,Curt,R,R,ARI
spivj001,Spivey,Junior,R,R,ARI
stott001,Stottlemyre,Todd,L,R,ARI
swing001,Swindell,Greg,R,L,ARI
willm003,Williams,Matt,R,R,ARI
womat001,Womack,Tony,L,R,ARI
blanh001,Blanco,Henry,R,R,ATL
bongj001,Bong,Jung,L,L,ATL
bragd001,Bragg,Darren,L,R,ATL
castv001,Castilla,Vinny,R,R,ATL
dawlj001,Dawley,Joey,R,R,ATL
derom001,DeRosa,Mark,R,R,ATL
ennij001,Ennis,John,R,R,ATL
fostj001,Foster,John,L,L,ATL
franj002,Franco,Julio,R,R,ATL
franm001,Franco,Matt,L,R,ATL
furcr001,Furcal,Rafael,B,R,ATL
garcj001,Garcia,Jesse,R,R,ATL
gilem001,Giles,Marcus,R,R,ATL
glavt001,Glavine,Tom,L,L,ATL
grybk001,Gryboski,Kevin,R,R,ATL
hammc001,Hammond,Chris,L,L,ATL
helmw001,Helms,Wes,R,R,ATL
hodgt001,Hodges,Trey,R,R,ATL
holmd001,Holmes,Darren,R,R,ATL
jonea002,Jones,Andruw,R,R,ATL
jonec004,Jones,Chipper,B,R,ATL
langr002,Langerhans,Ryan,L,L,ATL
ligtk001,Ligtenberg,Kerry,R,R,ATL
lockk001,Lockhart,Keith,L,R,ATL
lopea002,Lopez,Albie,R,R,ATL
lopej001,Lopez,Javy,R,R,ATL
maddg002,Maddux,Greg,R,R,ATL
marqj001,Marquis,Jason,L,R,ATL
millk004,Millwood,Kevin,R,R,ATL
mossd001,Moss,Damian,R,L,ATL
prata001,Pratt,Andy,L,L,ATL
remlm001,Remlinger,Mike,L,L,ATL
shefg001,Sheffield,Gary,R,R,ATL
smala001,Small,Aaron,R,R,ATL
smolj001,Smoltz,John,R,R,ATL
spoot001,Spooneybarger,Tim,R,R,ATL
surhb001,Surhoff,B.J.,L,R,ATL
torrs002,Torrealba,Steve,R,R,ATL
batit001,Batista,Tony,R,R,BAL
bauer001,Bauer,Rick,R,R,BAL
bechs001,Bechler,Steve,R,R,BAL
bedae001,Bedard,Erik,L,L,BAL
bigbl001,Bigbie,Larry,L,R,BAL
bordm001,Bordick,Mike,R,R,BAL
brocc001,Brock,Chris,R,R,BAL
casar001,Casanova,Raul,B,R,BAL
clarh001,Clark,Howie,L,R,BAL
conij001,Conine,Jeff,R,R,BAL
cordm001,Cordova,Marty,R,R,BAL
dougs001,Douglass,Sean,R,R,BAL
drist001,Driskill,Travis,R,R,BAL
duboe001,DuBose,Eric,L,L,BAL
erics001,Erickson,Scott,R,R,BAL
fordb001,Fordyce,Brook,R,R,BAL
garcl003,Garcia,Luis,R,R,BAL
gibbj002,Gibbons,Jay,L,L,BAL
gil-g001,Gil,Geronimo,R,R,BAL
groob001,Groom,Buddy,L,L,BAL
hairj002,Hairston,Jerry,R,R,BAL
hentp001,Hentgen,Pat,R,R,BAL
johnj007,Johnson,Jason,R,R,BAL
julij001,Julio,Jorge,R,R,BAL
leonj002,Leon,Jose,R,R,BAL
lopel002,Lopez,Luis,B,R,BAL
loper001,Lopez,Rodrigo,R,R,BAL
lunaf001,Lunar,Fernando,R,R,BAL
maduc001,Maduro,Calvin,R,R,BAL
matol001,Matos,Luis,R,R,BAL
mattg002,Matthews,Gary,B,R,BAL
mcgur001,McGuire,Ryan,L,L,BAL
molii001,Molina,Izzy,R,R,BAL
moram002,Mora,Melvin,R,R,BAL
morim001,Moriarty,Mike,R,R,BAL
perey001,Perez,Yorkis,L,L,BAL
ponss001,Ponson,Sidney,R,R,BAL
richc001,Richard,Chris,L,L,BAL
robeb003,Roberts,Brian,B,R,BAL
robew001,Roberts,Willis,R,R,BAL
rogee001,Rogers,Eddie,R,R,BAL
ryanb001,Ryan,B.J.,L,L,BAL
segud001,Segui,David,B,L,BAL
singc001,Singleton,Chris,L,L,BAL
stepj001,Stephens,John,R,R,BAL
towej001,Towers,Josh,R,R,BAL
agbab001,Agbayani,Benny,R,R,BOS
andrs001,Andrews,Shane,R,R,BOS
arror001,Arrojo,Rolando,R,R,BOS
baerc001,Baerga,Carlos,B,R,BOS
bankw001,Banks,Willie,R,R,BOS
browk004,Brown,Kevin,R,R,BOS
burkj001,Burkett,John,R,R,BOS
castf001,Castillo,Frank,R,R,BOS
clart002,Clark,Tony,B,R,BOS
damoj001,Damon,Johnny,L,L,BOS
daubb001,Daubach,Brian,L,R,BOS
diazj001,Diaz,Juan,R,R,BOS
embra001,Embree,Alan,L,L,BOS
floyc001,Floyd,Cliff,L,R,BOS
fossc001,Fossum,Casey,L,L,BOS
garcn001,Garciaparra,Nomar,R,R,BOS
garcr001,Garces,Rich,R,R,BOS
gomew001,Gomes,Wayne,R,R,BOS
hancj001,Hancock,Josh,R,R,BOS
hanec001,Haney,Chris,L,L,BOS
hendr001,Henderson,Rickey,R,L,BOS
hermd001,Hermanson,Dustin,R,R,BOS
hills002,Hillenbrand,Shea,R,R,BOS
howrb001,Howry,Bob,L,R,BOS
kim-s001,Kim,Sun-Woo,R,R,BOS
lowed001,Lowe,Derek,R,R,BOS
martp001,Martinez,Pedro,R,R,BOS
merll001,Merloni,Lou,R,R,BOS
mirad001,Mirabelli,Doug,R,R,BOS
nelsb001,Nelson,Bry,B,R,BOS
nixot001,Nixon,Trot,L,L,BOS
offej001,Offerman,Jose,B,R,BOS
olivd001,Oliver,Darren,R,L,BOS
ramim002,Ramirez,Manny,R,R,BOS
sancf001,Sanchez,Freddy,R,R,BOS
sancr001,Sanchez,Rey,R,R,BOS
urbiu001,Urbina,Ugueth,R,R,BOS
varij001,Varitek,Jason,B,R,BOS
waket001,Wakefield,Tim,R,R,BOS
aloms001,Alomar,Sandy,R,R,CHA
barcl001,Barcelo,Lorenzo,R,R,CHA
biddr001,Biddle,Rocky,R,R,CHA
borcj001,Borchard,Joe,B,R,CHA
buehm001,Buehrle,Mark,L,L,CHA
clayr001,Clayton,Royce,R,R,CHA
credj001,Crede,Joe,R,R,CHA
durhr001,Durham,Ray,B,R,CHA
foulk001,Foulke,Keith,R,R,CHA
garlj001,Garland,Jon,R,R,CHA
gintm001,Ginter,Matt,R,R,CHA
glovg001,Glover,Gary,R,R,CHA
graft001,Graffanino,Tony,R,R,CHA
harrw001,Harris,Willie,L,R,CHA
howrb001,Howry,Bob,L,R,CHA
jimed001,Jimenez,D'Angelo,B,R,CHA
johnm003,Johnson,Mark,L,R,CHA
konep001,Konerko,Paul,R,R,CHA
lee-c001,Lee,Carlos,R,R,CHA
liefj001,Liefer,Jeff,L,R,CHA
loftk001,Lofton,Kenny,L,L,CHA
martd004,Marte,Damaso,L,L,CHA
olivm001,Olivo,Miguel,R,R,CHA
ordom001,Ordonez,Magglio,R,R,CHA
osuna002,Osuna,Antonio,R,R,CHA
parqj001,Parque,Jim,L,L,CHA
paulj001,Paul,Josh,R,R,CHA
porzm001,Porzio,Mike,L,L,CHA
raucj001,Rauch,Jon,R,R,CHA
ritct001,Ritchie,Todd,R,R,CHA
rowaa001,Rowand,Aaron,R,R,CHA
thomf001,Thomas,Frank,R,R,CHA
valej003,Valentin,Jose,B,R,CHA
wrigd001,Wright,Dan,R,R,CHA
wunsk001,Wunsch,Kelly,L,L,CHA
alfoa001,Alfonseca,Antonio,R,R,CHN
aloum001,Alou,Moises,R,R,CHN
bellm002,Bellhorn,Mark,B,R,CHN
beltf001,Beltran,Francis,R,R,CHN
benea002,Benes,Alan,R,R,CHN
berej002,Bere,Jason,R,R,CHN
boroj001,Borowski,Joe,R,R,CHN
browr001,Brown,Roosevelt,L,R,CHN
chias002,Chiasson,Scott,R,R,CHN
choih001,Choi,Hee-Seop,L,L,CHN
clemm001,Clement,Matt,R,R,CHN
cruzj005,Cruz,Juan,R,R,CHN
cunnw001,Cunnane,Will,R,R,CHN
deshd001,DeShields,Delino,L,R,CHN
duncc001,Duncan,Courtney,L,R,CHN
echea001,Echevarria,Angel,R,R,CHN
