PlayerID,LastName,FirstName,Bats,Pitches,Team
alvaj002,Alvarez,Juan,L,L,ANA
andeg001,Anderson,Garret,L,L,ANA
baugj001,Baughman,Justin,R,R,ANA
belct001,Belcher,Tim,R,R,ANA
bottk001,Bottenfield,Kent,R,R,ANA
cleme001,Clemente,Edgard,R,R,ANA
coopb001,Cooper,Brian,R,R,ANA
dickj001,Dickson,Jason,L,R,ANA
disag001,Disarcina,Gary,R,R,ANA
durrt001,Durrington,Trent,R,R,ANA
erstd001,Erstad,Darin,L,L,ANA
ethes001,Etherton,Seth,R,R,ANA
fyhrm001,Fyhrie,Mike,R,R,ANA
gantr001,Gant,Ron,R,R,ANA
gil-b001,Gil,Benji,R,R,ANA
glaut001,Glaus,Troy,R,R,ANA
hases001,Hasegawa,Shigetoshi,R,R,ANA
hillk001,Hill,Ken,R,R,ANA
hincb001,Hinchliffe,Brett,R,R,ANA
holtm001,Holtz,Mike,L,L,ANA
johnk002,Johnson,Keith,R,R,ANA
karls001,Karl,Scott,L,L,ANA
kenna001,Kennedy,Adam,L,R,ANA
levia001,Levine,Al,L,R,ANA
luulk001,Luuloa,Keith,R,R,ANA
merck001,Mercker,Kent,L,L,ANA
molib001,Molina,Bengie,R,R,ANA
ortir002,Ortiz,Ramon,R,R,ANA
palmo001,Palmeiro,Orlando,L,L,ANA
perct001,Percival,Troy,R,R,ANA
petkm001,Petkovsek,Mark,R,R,ANA
potel001,Pote,Lou,R,R,ANA
salmt001,Salmon,Tim,R,R,ANA
schos001,Schoeneweis,Scott,L,L,ANA
spies001,Spiezio,Scott,B,R,ANA
stock001,Stocker,Kevin,B,R,ANA
turnd001,Turnbow,Derrick,R,R,ANA
vaugm001,Vaughn,Mo,L,R,ANA
walbm001,Walbeck,Matt,B,R,ANA
wardb001,Ward,Bryan,L,L,ANA
washj001,Washburn,Jarrod,L,L,ANA
weave001,Weaver,Eric,R,R,ANA
webeb001,Weber,Ben,R,R,ANA
wisem001,Wise,Matt,R,R,ANA
woots001,Wooten,Shawn,R,R,ANA
andeb002,Anderson,Brian,L,L,ARI
barar001,Barajas,Rod,R,R,ARI
bautd001,Bautista,Danny,R,R,ARI
bellj001,Bell,Jay,R,R,ARI
cabra001,Cabrera,Alex,R,R,ARI
colbg001,Colbrunn,Greg,R,R,ARI
contj001,Conti,Jason,L,R,ARI
counc001,Counsell,Craig,L,R,ARI
daalo001,Daal,Omar,L,L,ARI
delld001,Dellucci,David,L,L,ARI
durae001,Durazo,Erubiel,L,L,ARI
figun001,Figueroa,Nelson,B,R,ARI
finls001,Finley,Steve,L,L,ARI
fox-a001,Fox,Andy,L,R,ARI
friah001,Frias,Hanley,B,R,ARI
gilkb001,Gilkey,Bernard,R,R,ARI
gonzl001,Gonzalez,Luis,L,R,ARI
guzmg001,Guzman,Geraldo,R,R,ARI
harrl001,Harris,Lenny,L,R,ARI
holmd001,Holmes,Darren,R,R,ARI
johnr005,Johnson,Randy,R,L,ARI
kim-b001,Kim,Byung-Hyun,R,R,ARI
klasd001,Klassen,Danny,R,R,ARI
lee-t002,Lee,Travis,L,L,ARI
mantm001,Mantei,Matt,R,R,ARI
miesm001,Mieske,Matt,R,R,ARI
milld002,Miller,Damian,R,R,ARI
morgm001,Morgan,Mike,R,R,ARI
padiv001,Padilla,Vicente,R,R,ARI
plesd001,Plesac,Dan,L,L,ARI
reyna001,Reynoso,Armando,R,R,ARI
ruffj001,Ruffin,Johnny,R,R,ARI
ryanr001,Ryan,Rob,L,L,ARI
schic002,Schilling,Curt,R,R,ARI
sprir001,Springer,Russ,R,R,ARI
stink001,Stinnett,Kelly,R,R,ARI
stott001,Stottlemyre,Todd,L,R,ARI
swing001,Swindell,Greg,R,L,ARI
wardt001,Ward,Turner,B,R,ARI
willm003,Williams,Matt,R,R,ARI
womat001,Womack,Tony,L,R,ARI
ashba002,Ashby,Andy,R,R,ATL
bakop001,Bako,Paul,L,R,ATL
belis001,Belinda,Stan,R,R,ATL
bonib001,Bonilla,Bobby,B,R,ATL
burkj001,Burkett,John,R,R,ATL
chenb001,Chen,Bruce,L,L,ATL
derom001,DeRosa,Mark,R,R,ATL
furcr001,Furcal,Rafael,B,R,ATL
galaa001,Galarraga,Andres,R,R,ATL
glavt001,Glavine,Tom,L,L,ATL
helmw001,Helms,Wes,R,R,ATL
hubbm001,Hubbard,Mike,R,R,ATL
hubbt001,Hubbard,Trent,R,R,ATL
huntb001,Hunter,Brian,R,L,ATL
jonea002,Jones,Andruw,R,R,ATL
jonec004,Jones,Chipper,B,R,ATL
